familia,articulo,fecha_venta,festivo,precio,cantidad,importe,orden_articulo_familia,tavg_w,tmin_w,tmax_w,prcp_w,wdir_w,wspd_w,pres_w
PANADERIA,417,2022-02-12,,4.327000141143799,63.0,272.60100269317627,5,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PASTELERIA,6451,2022-02-12,,40.77299880981445,9.0,366.9570007324219,4,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PASTELERIA,5403,2022-02-12,,36.81800079345703,30.300000190734863,1115.5850143432615,2,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PANADERIA,1043,2022-02-12,,2.740000009536743,219.0,600.0600156784058,2,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
BOLLERIA,3880,2022-02-12,,3.0,219.0,657.0,3,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PASTELERIA,6523,2022-02-12,,36.81800079345703,15.0,552.2700119018555,3,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
BOLLERIA,6286,2022-02-12,,3.4089999198913574,153.0,521.5769939422607,4,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
BOLLERIA,3960,2022-02-12,,2.5910000801086426,345.0,893.8950128555298,1,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PASTELERIA,5404,2022-02-12,,40.77299880981445,31.20000028610229,1272.1190185546875,1,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
BOLLERIA,6425,2022-02-12,,32.590999603271484,23.07899969816208,752.1674003601074,2,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PANADERIA,900,2022-02-12,,1.0099999904632568,396.0,399.95999789237976,3,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PANADERIA,1084,2022-02-12,,1.0099999904632568,414.0,418.1400027275085,4,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
PANADERIA,968,2022-02-12,,2.308000087738037,240.0,553.919994354248,1,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
BOLLERIA,5803,2022-03-06,,3.0,192.0,576.0,5,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
BOLLERIA,3880,2022-03-06,,3.0,270.0,810.0,3,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
BOLLERIA,6425,2022-03-06,,32.590999603271484,21.12000054121017,688.3219985961914,2,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PASTELERIA,5403,2022-03-06,,36.81800079345703,13.5,497.0430145263672,2,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PASTELERIA,5404,2022-03-06,,40.77299880981445,4.5,183.47900390625,1,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PANADERIA,417,2022-03-06,,4.327000141143799,63.0,272.60100078582764,5,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PASTELERIA,6451,2022-03-06,,40.77299880981445,21.0,856.2330017089844,4,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PASTELERIA,6549,2022-03-06,,29.86400032043457,9.0,268.77600860595703,5,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PANADERIA,900,2022-03-06,,1.0099999904632568,351.0,354.5100018978119,3,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PANADERIA,1043,2022-03-06,,2.740000009536743,270.0,739.8000020980835,2,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PANADERIA,968,2022-03-06,,2.308000087738037,351.0,810.1079902648926,1,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PANADERIA,1084,2022-03-06,,1.0099999904632568,375.0,378.74999809265137,4,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
BOLLERIA,3960,2022-03-06,,2.5910000801086426,357.0,924.9870071411132,1,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
PASTELERIA,6523,2022-03-06,,36.81800079345703,12.0,441.8160095214844,3,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
BOLLERIA,6286,2022-03-06,,3.4089999198913574,261.54000091552734,891.589994430542,4,11.9,6.1,18.2,0.0,209.0,12.9,1012.2
BOLLERIA,5803,2022-05-16,,3.5450000762939453,42.0,148.8900032043457,5,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PANADERIA,1043,2022-05-16,,3.0290000438690186,183.0,554.3069972991943,2,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PASTELERIA,6549,2022-05-16,,32.590999603271484,6.0,195.54600524902344,5,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PANADERIA,968,2022-05-16,,2.45199990272522,228.0,559.0560007095337,1,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
BOLLERIA,3960,2022-05-16,,2.5910000801086426,204.0,528.5639991760254,1,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PASTELERIA,6523,2022-05-16,,39.54499816894531,9.0,355.9050064086914,3,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PANADERIA,900,2022-05-16,,1.0099999904632568,465.0,469.6499960422516,3,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
BOLLERIA,6425,2022-05-16,,34.090999603271484,4.9799999594688416,169.77309799194336,2,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
BOLLERIA,6286,2022-05-16,,3.818000078201294,57.0,217.62600708007807,4,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PASTELERIA,5404,2022-05-16,,42.27299880981445,12.0,507.2760009765625,1,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PANADERIA,1084,2022-05-16,,1.0099999904632568,381.0,384.8099920749664,4,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PASTELERIA,5403,2022-05-16,,39.54499816894531,7.5,296.588005065918,2,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
PANADERIA,417,2022-05-16,,4.614999771118164,39.0,179.98500061035156,5,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
BOLLERIA,3880,2022-05-16,,3.2730000019073486,126.0,412.3980102539063,3,23.1,19.0,29.2,0.0,250.0,20.0,1018.8
BOLLERIA,3960,2022-05-18,,2.5910000801086426,150.0,388.65000343322754,1,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
BOLLERIA,3880,2022-05-18,,3.2730000019073486,108.0,353.4840087890625,3,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
BOLLERIA,5803,2022-05-18,,3.5450000762939453,126.0,446.67000579833984,5,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PANADERIA,1084,2022-05-18,,1.1540000438690186,387.0,446.5979976654053,4,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PANADERIA,1043,2022-05-18,,3.0290000438690186,150.0,454.3500003814697,2,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PASTELERIA,6549,2022-05-18,,32.590999603271484,9.0,293.3190078735352,5,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PANADERIA,900,2022-05-18,,1.0099999904632568,396.0,399.9600038528442,3,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PANADERIA,417,2022-05-18,,4.614999771118164,51.0,235.36499977111816,5,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PANADERIA,968,2022-05-18,,2.45199990272522,264.0,647.3280048370361,1,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PASTELERIA,5404,2022-05-18,,42.27299880981445,6.0,253.63800048828125,1,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
PASTELERIA,5403,2022-05-18,,39.54499816894531,4.5,177.9530029296875,2,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
BOLLERIA,6425,2022-05-18,,34.090999603271484,7.443000137805939,253.7392063140869,2,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
BOLLERIA,6286,2022-05-18,,3.818000078201294,45.0,171.81000328063965,4,22.2,16.7,28.9,0.0,180.0,11.0,1017.2
BOLLERIA,6286,2022-05-30,,3.818000078201294,81.0,309.2580089569092,4,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PASTELERIA,5404,2022-05-30,,42.27299880981445,12.0,507.2770080566406,1,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PANADERIA,1084,2022-05-30,,1.1540000438690186,417.0,481.2180004119873,4,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PANADERIA,968,2022-05-30,,2.45199990272522,285.0,698.8200149536133,1,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
BOLLERIA,5803,2022-05-30,,3.5450000762939453,48.0,170.16000175476074,5,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PANADERIA,417,2022-05-30,,4.614999771118164,72.0,332.2800064086914,5,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
BOLLERIA,3880,2022-05-30,,3.2730000019073486,93.0,304.3890075683594,3,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PASTELERIA,6549,2022-05-30,,32.590999603271484,6.0,195.54600524902344,5,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
BOLLERIA,6425,2022-05-30,,34.090999603271484,17.874000191688538,609.3434009552002,2,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PASTELERIA,6451,2022-05-30,,43.5,6.0,261.0,4,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PANADERIA,900,2022-05-30,,1.0099999904632568,390.0,393.8999967575073,3,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
PANADERIA,1043,2022-05-30,,3.0290000438690186,177.0,536.132999420166,2,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
BOLLERIA,3960,2022-05-30,,2.5910000801086426,222.0,575.2019987106323,1,23.9,18.8,31.0,0.0,287.0,18.7,1010.5
BOLLERIA,6425,2022-05-31,,34.090999603271484,16.922999918460846,576.9215087890625,2,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PASTELERIA,5403,2022-05-31,,39.54499816894531,4.5,177.9530029296875,2,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PANADERIA,1084,2022-05-31,,1.1540000438690186,396.0,456.9839973449707,4,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
BOLLERIA,5803,2022-05-31,,3.5450000762939453,57.0,202.06500434875488,5,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PANADERIA,968,2022-05-31,,2.45199990272522,252.0,617.9040079116821,1,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
BOLLERIA,3880,2022-05-31,,3.2730000019073486,108.0,353.4840087890625,3,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PASTELERIA,6523,2022-05-31,,39.54499816894531,3.0,118.63500213623048,3,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
BOLLERIA,6286,2022-05-31,,3.818000078201294,90.0,343.6200065612793,4,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PANADERIA,900,2022-05-31,,1.0099999904632568,510.0,515.0999960899353,3,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PANADERIA,1043,2022-05-31,,3.0290000438690186,159.0,481.6109981536865,2,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PASTELERIA,6451,2022-05-31,,43.5,6.0,261.0,4,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
BOLLERIA,3960,2022-05-31,,2.5910000801086426,180.0,466.3800039291382,1,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PANADERIA,417,2022-05-31,,4.614999771118164,48.0,221.52000331878665,5,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
PASTELERIA,5404,2022-05-31,,42.27299880981445,16.5,697.5049743652344,1,23.1,18.2,30.6,0.0,297.0,14.9,1012.1
BOLLERIA,3880,2022-07-01,,3.2730000019073486,126.0,412.3980102539063,3,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PANADERIA,1043,2022-07-01,,3.0290000438690186,141.0,427.08899879455566,2,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PASTELERIA,6549,2022-07-01,,32.590999603271484,15.0,488.8650131225586,5,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PASTELERIA,6523,2022-07-01,,39.54499816894531,9.0,355.9050064086914,3,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PASTELERIA,6451,2022-07-01,,43.5,9.0,391.5,4,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
BOLLERIA,3960,2022-07-01,,2.5910000801086426,276.0,715.1159992218018,1,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PANADERIA,900,2022-07-01,,1.0099999904632568,348.0,351.4800007343292,3,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PASTELERIA,5404,2022-07-01,,42.27299880981445,26.100000381469727,1103.3250122070312,1,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PANADERIA,417,2022-07-01,,4.614999771118164,78.0,359.9700050354004,5,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
BOLLERIA,6286,2022-07-01,,3.818000078201294,75.0,286.3500061035156,4,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PANADERIA,968,2022-07-01,,2.45199990272522,195.0,478.1400089263916,1,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
BOLLERIA,6425,2022-07-01,,34.090999603271484,5.027999997138977,171.40940284729004,2,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PANADERIA,1084,2022-07-01,,1.1540000438690186,327.0,377.3580017089844,4,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
PASTELERIA,5403,2022-07-01,,39.54499816894531,3.0,118.63500213623048,2,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
BOLLERIA,5803,2022-07-01,,3.5450000762939453,60.0,212.70000457763672,5,21.8,18.1,26.4,0.0,128.0,11.2,1014.3
BOLLERIA,6286,2022-07-08,,3.818000078201294,93.0,355.0740051269531,4,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PANADERIA,1084,2022-07-08,,1.1540000438690186,291.0,335.8139934539795,4,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PASTELERIA,5403,2022-07-08,,39.54499816894531,6.0,237.2700042724609,2,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PANADERIA,968,2022-07-08,,2.45199990272522,255.0,625.2600011825562,1,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
BOLLERIA,3880,2022-07-08,,3.2730000019073486,111.0,363.3030090332031,3,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PANADERIA,1043,2022-07-08,,3.0290000438690186,165.0,499.7849960327149,2,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PANADERIA,417,2022-07-08,,4.614999771118164,72.0,332.28000259399414,5,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PASTELERIA,6549,2022-07-08,,32.590999603271484,12.0,391.0920104980469,5,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PASTELERIA,5404,2022-07-08,,42.27299880981445,7.5,317.0480041503906,1,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
BOLLERIA,6425,2022-07-08,,34.090999603271484,17.5589998960495,598.6036987304688,2,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
BOLLERIA,3960,2022-07-08,,2.5910000801086426,219.0,567.4289979934692,1,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
BOLLERIA,5803,2022-07-08,,3.5450000762939453,42.0,148.8900032043457,5,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PANADERIA,900,2022-07-08,,1.0099999904632568,294.0,296.93999767303467,3,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
PASTELERIA,6523,2022-07-08,,39.54499816894531,6.0,237.2700042724609,3,24.9,22.7,29.0,0.0,131.0,10.4,1021.5
BOLLERIA,5803,2022-07-14,,3.5450000762939453,39.0,138.25500106811523,5,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
BOLLERIA,3880,2022-07-14,,3.2730000019073486,111.0,363.3030090332031,3,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PASTELERIA,6451,2022-07-14,,43.5,12.0,522.0,4,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PANADERIA,417,2022-07-14,,4.614999771118164,63.0,290.745005607605,5,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
BOLLERIA,3960,2022-07-14,,2.5910000801086426,165.0,427.5150089263916,1,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PANADERIA,968,2022-07-14,,2.45199990272522,201.0,492.8520107269287,1,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PANADERIA,1084,2022-07-14,,1.1540000438690186,297.0,342.738000869751,4,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PANADERIA,900,2022-07-14,,1.0099999904632568,375.0,378.75000500679016,3,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PANADERIA,1043,2022-07-14,,3.0290000438690186,123.0,372.56700134277344,2,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PASTELERIA,5404,2022-07-14,,42.27299880981445,12.0,507.2760009765625,1,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
PASTELERIA,5403,2022-07-14,,39.54499816894531,3.0,118.63500213623048,2,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
BOLLERIA,6425,2022-07-14,,34.090999603271484,8.349000036716461,284.6258029937744,2,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
BOLLERIA,6286,2022-07-14,,3.818000078201294,60.0,229.08000564575195,4,26.1,21.1,32.1,0.0,194.0,11.1,1018.4
BOLLERIA,5803,2022-08-08,,3.5450000762939453,60.0,212.70000076293945,5,25.4,21.7,30.8,0.1,151.0,11.0,1014.6
PASTELERIA,5403,2022-08-08,,39.54499816894531,7.5,296.5880126953125,2,25.4,21.7,30.8,0.1,151.0,11.0,1014.6
PASTELERIA,6549,2022-08-08,,32.590999603271484,6.0,195.54600524902344,5,25.4,21.7,30.8,0.1,151.0,11.0,1014.6
